Author,Date,Atwood/ Original Reference,Alternate Ref / Link,Source,Latitude,Longitude,C Stock (Mg km-2),Depth (m),TOC %,TC%,TOC (Non %),Units,Dry Bulk Density,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.8602,-75.80200694,6076.64906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.5932,-75.61022224,5811.94052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.4467,-75.80301273,5878.85771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.3377,-75.80369077,4422.11497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.3262,-75.80351752,4175.92823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.253,-75.60814944,6397.14776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.2387,-75.80370239,5945.27299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.1317,-76.1667,7067.40504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,86.0933,-76.1667,6646.05726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setier,2004,Setier_et_al_2004_https://doi.org/10.1594/PANGAEA.199835_Pangaea,"Seiter, Katherina; Hensen, Christian; Schröter, Jürgen; Zabel, Matthias (2004): Total organic carbon content in surface sediments, a compilation from different sources. PANGAEA, https://doi.org/10.1594/PANGAEA.199835, In supplement to: Seiter, K et al. (2004): Organic carbon content in surface sediments-defining regional provinces. Deep Sea Research Part I: Oceanographic Research Papers, 51(12), 2001-2026, https://doi.org/10.1016/j.dsr.2004.06.014",Atwood 2020,85.9618,-75.5925,6584.41682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
